structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0.0,1.0,1.0,0.013033,0.014464,0.027497,0.0,69.13716814159292
Accessory facial motor nucleus,0.0,0.0,0.0,0.00284,0.0031999999999999,0.00604,0.0,0.0
"Accessory olfactory bulb, glomerular layer",0.0,1.0,1.0,0.07618,0.07636,0.15254,0.0,13.095861707700367
"Accessory olfactory bulb, granular layer",1.0,3.0,4.0,0.1161099999999999,0.118944,0.2350539999999999,8.612522607871854,25.221953188054883
"Accessory olfactory bulb, mitral layer",0.0,0.0,0.0,0.143724,0.141228,0.284952,0.0,0.0
Accessory supraoptic group,0.0,0.0,0.0,0.0036539999999999,0.003584,0.007238,0.0,0.0
Accessory trigeminal nucleus,0.0,0.0,0.0,0.009483,0.0086,0.018083,0.0,0.0
"Agranular insular area, dorsal part, layer 1",0.0,0.0,0.0,0.1928619999999999,0.2016589999999999,0.3945209999999999,0.0,0.0
"Agranular insular area, dorsal part, layer 2/3",0.0,0.0,0.0,0.398518,0.431882,0.8304,0.0,0.0
"Agranular insular area, dorsal part, layer 5",0.0,0.0,0.0,0.724182,0.710418,1.4346,0.0,0.0
"Agranular insular area, dorsal part, layer 6a",4.0,0.0,4.0,0.351272,0.335024,0.686296,11.387187137033411,0.0
"Agranular insular area, dorsal part, layer 6b",0.0,0.0,0.0,0.02114,0.019849,0.040989,0.0,0.0
"Agranular insular area, posterior part, layer 1",0.0,0.0,0.0,0.205817,0.228037,0.4338539999999999,0.0,0.0
"Agranular insular area, posterior part, layer 2/3",0.0,0.0,0.0,0.409725,0.430791,0.840516,0.0,0.0
"Agranular insular area, posterior part, layer 5",0.0,1.0,1.0,0.435232,0.418244,0.853476,0.0,2.3909488241313683
"Agranular insular area, posterior part, layer 6a",0.0,0.0,0.0,0.248828,0.240453,0.4892809999999999,0.0,0.0
"Agranular insular area, posterior part, layer 6b",0.0,0.0,0.0,0.010643,0.01219,0.022833,0.0,0.0
"Agranular insular area, ventral part, layer 1",0.0,0.0,0.0,0.109343,0.1230889999999999,0.2324319999999999,0.0,0.0
"Agranular insular area, ventral part, layer 2/3",0.0,0.0,0.0,0.275422,0.311342,0.5867640000000001,0.0,0.0
"Agranular insular area, ventral part, layer 5",0.0,0.0,0.0,0.347827,0.357494,0.705321,0.0,0.0
"Agranular insular area, ventral part, layer 6a",0.0,0.0,0.0,0.07891,0.077843,0.1567529999999999,0.0,0.0
"Agranular insular area, ventral part, layer 6b",0.0,0.0,0.0,0.0013579999999999,0.001298,0.0026559999999999,0.0,0.0
Anterior amygdalar area,0.0,0.0,0.0,0.2427139999999999,0.264405,0.507119,0.0,0.0
"Anterior area, layer 1",0.0,0.0,0.0,0.097425,0.091723,0.1891479999999999,0.0,0.0
"Anterior area, layer 2/3",7.0,0.0,7.0,0.199756,0.179887,0.3796429999999999,35.042752157632314,0.0
"Anterior area, layer 4",2.0,0.0,2.0,0.087172,0.083938,0.1711099999999999,22.94314688202634,0.0
"Anterior area, layer 5",17.0,0.0,17.0,0.214119,0.208927,0.423046,79.39510272325202,0.0
"Anterior area, layer 6a",5.0,0.0,5.0,0.1478249999999999,0.13662,0.2844449999999999,33.82377811601558,0.0
"Anterior area, layer 6b",0.0,0.0,0.0,0.0272309999999999,0.0236469999999999,0.0508779999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 1",0.0,0.0,0.0,0.314762,0.347176,0.6619379999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 2/3",1.0,0.0,1.0,0.3465729999999999,0.328824,0.675397,2.8853949961479985,0.0
"Anterior cingulate area, dorsal part, layer 5",7.0,0.0,7.0,0.694135,0.662661,1.356796,10.084493650370606,0.0
"Anterior cingulate area, dorsal part, layer 6a",0.0,0.0,0.0,0.372309,0.4002259999999999,0.772535,0.0,0.0
"Anterior cingulate area, dorsal part, layer 6b",0.0,0.0,0.0,0.012589,0.01436,0.026949,0.0,0.0
"Anterior cingulate area, ventral part, 6a",1.0,1.0,2.0,0.180164,0.1915629999999999,0.371727,5.550498434759442,5.220214759635214
"Anterior cingulate area, ventral part, 6b",0.0,0.0,0.0,0.029958,0.0319949999999999,0.0619529999999999,0.0,0.0
"Anterior cingulate area, ventral part, layer 1",0.0,0.0,0.0,0.22943,0.261704,0.4911339999999999,0.0,0.0
"Anterior cingulate area, ventral part, layer 2/3",0.0,0.0,0.0,0.26291,0.268912,0.531822,0.0,0.0
"Anterior cingulate area, ventral part, layer 5",3.0,0.0,3.0,0.523936,0.541702,1.065638,5.725890185060771,0.0
Anterior hypothalamic nucleus,0.0,0.0,0.0,0.4012219999999999,0.386258,0.78748,0.0,0.0
Anterior olfactory nucleus,2.0,1.0,3.0,2.638859,2.653045,5.291904000000001,0.7579033210944579,0.37692538196675895
Anterior pretectal nucleus,21.0,20.0,41.0,0.676466,0.669276,1.345742,31.043688818063288,29.883037790089592
Anterior tegmental nucleus,1.0,1.0,2.0,0.023882,0.023417,0.047299,41.87253998827569,42.70401844813597
Anterodorsal nucleus,16.0,18.0,34.0,0.088382,0.079771,0.168153,181.03233690117898,225.64591142144388
Anterodorsal preoptic nucleus,0.0,0.0,0.0,0.058836,0.0581249999999999,0.116961,0.0,0.0
"Anterolateral visual area, layer 1",0.0,0.0,0.0,0.0541629999999999,0.057003,0.1111659999999999,0.0,0.0
"Anterolateral visual area, layer 2/3",12.0,0.0,12.0,0.094432,0.100685,0.1951169999999999,127.07556760420196,0.0
"Anterolateral visual area, layer 4",13.0,0.0,13.0,0.0536619999999999,0.0568409999999999,0.1105029999999999,242.25709067869303,0.0
"Anterolateral visual area, layer 5",52.0,1.0,53.0,0.104254,0.1099899999999999,0.214244,498.7818213210045,9.091735612328403
"Anterolateral visual area, layer 6a",2.0,0.0,2.0,0.051037,0.0550789999999999,0.1061159999999999,39.18725630424986,0.0
"Anterolateral visual area, layer 6b",1.0,0.0,1.0,0.009762,0.010555,0.020317,102.4380249948781,0.0
"Anteromedial nucleus, dorsal part",6.0,4.0,10.0,0.146903,0.142554,0.2894569999999999,40.84327753687808,28.059542348864294
"Anteromedial nucleus, ventral part",7.0,1.0,8.0,0.101671,0.0974719999999999,0.199143,68.849524446499,10.25935653315825
"Anteromedial visual area, layer 1",0.0,0.0,0.0,0.039664,0.0405019999999999,0.0801659999999999,0.0,0.0
"Anteromedial visual area, layer 2/3",4.0,0.0,4.0,0.074322,0.065452,0.139774,53.819864912139074,0.0
"Anteromedial visual area, layer 4",2.0,0.0,2.0,0.026924,0.022157,0.049081,74.2831674342594,0.0
"Anteromedial visual area, layer 5",21.0,0.0,21.0,0.117684,0.1071849999999999,0.2248689999999999,178.44396859386154,0.0
"Anteromedial visual area, layer 6a",1.0,0.0,1.0,0.075691,0.0723029999999999,0.147994,13.21161036318717,0.0
"Anteromedial visual area, layer 6b",0.0,0.0,0.0,0.013314,0.011842,0.0251559999999999,0.0,0.0
Anteroventral nucleus of thalamus,5.0,8.0,13.0,0.2331879999999999,0.226288,0.459476,21.441926685764287,35.35317825072474
Anteroventral periventricular nucleus,0.0,0.0,0.0,0.074502,0.072819,0.1473209999999999,0.0,0.0
Anteroventral preoptic nucleus,0.0,0.0,0.0,0.043435,0.040084,0.083519,0.0,0.0
Arcuate hypothalamic nucleus,0.0,0.0,0.0,0.136534,0.144891,0.281425,0.0,0.0
Area postrema,0.0,0.0,0.0,0.00178,0.002806,0.004586,0.0,0.0
Area prostriata,9.0,0.0,9.0,0.133603,0.1466269999999999,0.28023,67.36375680186822,0.0
Barrington's nucleus,1.0,0.0,1.0,0.009649,0.01049,0.0201389999999999,103.6376826614157,0.0
"Basolateral amygdalar nucleus, anterior part",0.0,0.0,0.0,0.431015,0.425917,0.856932,0.0,0.0
"Basolateral amygdalar nucleus, posterior part",0.0,0.0,0.0,0.33038,0.351745,0.682125,0.0,0.0
"Basolateral amygdalar nucleus, ventral part",0.0,0.0,0.0,0.2275839999999999,0.225717,0.4533009999999999,0.0,0.0
"Basomedial amygdalar nucleus, anterior part",0.0,0.0,0.0,0.409923,0.409756,0.819679,0.0,0.0
"Basomedial amygdalar nucleus, posterior part",0.0,0.0,0.0,0.3553969999999999,0.375048,0.730445,0.0,0.0
Bed nuclei of the stria terminalis,4.0,6.0,10.0,0.800796,0.832356,1.633152,4.9950299452045215,7.208454074939088
Bed nucleus of the accessory olfactory tract,0.0,0.0,0.0,0.013446,0.0119709999999999,0.025417,0.0,0.0
Bed nucleus of the anterior commissure,0.0,0.0,0.0,0.004384,0.004555,0.0089389999999999,0.0,0.0
Caudoputamen,20.0,16.0,36.0,15.587227,15.351883,30.93911,1.283101862826531,1.042217427008791
"Central amygdalar nucleus, capsular part",0.0,0.0,0.0,0.173759,0.180012,0.353771,0.0,0.0
"Central amygdalar nucleus, lateral part",1.0,0.0,1.0,0.143481,0.152909,0.29639,6.969563914385877,0.0
"Central amygdalar nucleus, medial part",0.0,0.0,0.0,0.407114,0.42862,0.835734,0.0,0.0
Central lateral nucleus of the thalamus,7.0,3.0,10.0,0.2268599999999999,0.2312789999999999,0.4581389999999999,30.85603455875872,12.97134629603207
Central linear nucleus raphe,0.0,1.0,1.0,0.0431439999999999,0.046269,0.0894129999999999,0.0,21.612742873198037
Central medial nucleus of the thalamus,1.0,11.0,12.0,0.163178,0.173516,0.336694,6.1282770961771815,63.39473016897577
Cerebellum,17.0,14.0,31.0,0.3922879999999999,0.4339099999999999,0.826198,43.335508605922186,32.264755364015585
Claustrum,5.0,0.0,5.0,0.26855,0.241855,0.510405,18.61850679575498,0.0
Copula pyramidis,14.0,15.0,29.0,0.647504,1.223838,1.871342,21.62148805258346,12.256524147803876
"Cortical amygdalar area, anterior part",0.0,0.0,0.0,0.4250259999999999,0.4036409999999999,0.8286669999999999,0.0,0.0
"Cortical amygdalar area, posterior part, lateral zone",0.0,0.0,0.0,0.603383,0.6260669999999999,1.22945,0.0,0.0
"Cortical amygdalar area, posterior part, medial zone",0.0,0.0,0.0,0.695251,0.652787,1.3480379999999998,0.0,0.0
Cortical subplate,0.0,0.0,0.0,0.1892339999999999,0.192358,0.381592,0.0,0.0
Crus 1,7.0,12.0,19.0,3.088899,2.807429,5.8963280000000005,2.2661796322896928,4.274373456995707
Crus 2,7.0,23.0,30.0,1.476073,2.412494,3.888567,4.74231288018953,9.533702467239296
Cuneate nucleus,0.0,0.0,0.0,0.0072109999999999,0.050559,0.05777,0.0,0.0
Cuneiform nucleus,18.0,11.0,29.0,0.30932,0.322278,0.631598,58.19216345532136,34.13202266366305
Declive (VI),11.0,7.0,18.0,1.434513,1.611348,3.045861,7.668107573789851,4.344188840647706
"Dentate gyrus, granule cell layer",2.0,2.0,4.0,0.887278,0.907044,1.794322,2.2540849654786888,2.2049646985151767
"Dentate gyrus, molecular layer",13.0,5.0,18.0,2.486118,2.512564,4.998682,5.229035789934348,1.9899990607204434
"Dentate gyrus, polymorph layer",1.0,0.0,1.0,0.350948,0.3604199999999999,0.711368,2.8494249860378176,0.0
Dentate nucleus,11.0,5.0,16.0,0.2039679999999999,0.205588,0.409556,53.9300282397239,24.32048563145709
Diagonal band nucleus,31.0,6.0,37.0,0.405501,0.4355659999999999,0.841067,76.44864007733644,13.775179880890615
"Dorsal auditory area, layer 1",0.0,0.0,0.0,0.089582,0.1060479999999999,0.1956299999999999,0.0,0.0
"Dorsal auditory area, layer 2/3",7.0,0.0,7.0,0.161768,0.188463,0.3502309999999999,43.2718461005885,0.0
"Dorsal auditory area, layer 4",3.0,0.0,3.0,0.074267,0.0859129999999999,0.16018,40.39479176484845,0.0
"Dorsal auditory area, layer 5",20.0,1.0,21.0,0.1973649999999999,0.208362,0.4057269999999999,101.33508980822339,4.799339610869545
"Dorsal auditory area, layer 6a",1.0,0.0,1.0,0.096827,0.089643,0.18647,10.327697852871617,0.0
"Dorsal auditory area, layer 6b",0.0,0.0,0.0,0.01524,0.0138299999999999,0.02907,0.0,0.0
Dorsal cochlear nucleus,5.0,1.0,6.0,0.3289019999999999,0.335426,0.664328,15.202096673173168,2.9812835021733557
Dorsal motor nucleus of the vagus nerve,2.0,4.0,6.0,0.0403769999999999,0.053075,0.093452,49.53315006067823,75.3650494583137
Dorsal nucleus raphe,26.0,29.0,55.0,0.064982,0.0831529999999999,0.148135,400.1107999138223,348.75470518201433
"Dorsal part of the lateral geniculate complex, core",387.0,7.0,394.0,0.2441209999999999,0.2387949999999999,0.4829159999999999,1585.2794311017904,29.313846604828424
"Dorsal part of the lateral geniculate complex, ipsilateral zone",36.0,3.0,39.0,0.0560559999999999,0.056742,0.112798,642.2149279292148,52.87088928835783
"Dorsal part of the lateral geniculate complex, shell",135.0,1.0,136.0,0.1168299999999999,0.11702,0.23385,1155.5251219720972,8.545547769612032
Dorsal peduncular area,2.0,0.0,2.0,0.253668,0.265576,0.519244,7.884321238784553,0.0
Dorsal premammillary nucleus,0.0,0.0,0.0,0.0805729999999999,0.077746,0.158319,0.0,0.0
